date,market,code,name,strategy,strategy_name,buy_price,target,stop_loss,risk_reward,backtest_win_rate,backtest_avg_return,status,current_price,current_return_pct,exit_date,exit_price,realized_return_pct,last_checked,news_headline,news_url
2026-09-04,US,ADSK,Autodesk,bb_lower,볼린저밴드 하단터치,217.8999938964844,250.32,201.5,1.98,57.17,0.76,OPEN,207.02749633789065,-4.99,,,,2026-09-10T02:12:16.126273,,
2026-09-04,US,FICO,Fair Isaac,doubleb,더블비 볼린저밴드,932.260009765625,1105.23,840.5,1.89,49.37,-0.49,OPEN,949.239990234375,1.82,,,,2026-09-10T02:12:16.678082,,
2026-09-04,US,PTC,PTC Inc.,bb_lower,볼린저밴드 하단터치,141.02000427246094,151.41,133.05,1.3,,,STOP_HIT,133.255,-5.51,2026-09-08,133.05,-5.65,2026-09-09T10:36:01.376340,,
2026-09-04,US,TSLA,"Tesla, Inc.",rising_bearish,상승음봉,354.0799865722656,399.88,331.18,2.0,54.96,0.1,OPEN,368.4830017089844,4.07,,,,2026-09-10T02:12:17.213642,,
2026-09-04,US,TSN,Tyson Foods,bb_lower,볼린저밴드 하단터치,51.41999816894531,56.38,49.15,2.19,57.17,0.76,OPEN,51.90499877929688,0.94,,,,2026-09-10T02:12:17.929091,,
2026-09-04,US,TSN,Tyson Foods,rsi_oversold,RSI 과매도,51.41999816894531,56.38,49.15,2.19,58.47,0.89,OPEN,51.90499877929688,0.94,,,,2026-09-10T02:12:17.975604,,
2026-09-08,US,AMGN,Amgen,bb_lower,볼린저밴드 하단터치,393.1700134277344,430.24,374.92,2.03,57.17,0.76,OPEN,390.510009765625,-0.68,,,,2026-09-10T02:12:18.584316,,
2026-09-08,US,ACGL,Arch Capital Group,bb_lower,볼린저밴드 하단터치,95.70999908447266,98.74,92.78,1.03,57.17,0.76,OPEN,95.9800033569336,0.28,,,,2026-09-10T02:12:19.145506,,
2026-09-08,US,BKNG,Booking Holdings,bb_lower,볼린저밴드 하단터치,180.3000030517578,205.17,169.93,2.4,57.17,0.76,OPEN,172.25999450683594,-4.46,,,,2026-09-10T02:12:19.964574,,
2026-09-08,US,BRO,Brown & Brown,bb_lower,볼린저밴드 하단터치,68.18000030517578,71.66,65.19,1.17,57.17,0.76,OPEN,66.6500015258789,-2.24,,,,2026-09-10T02:12:20.579797,,
2026-09-08,US,CDNS,Cadence Design Systems,bb_lower,볼린저밴드 하단터치,284.1099853515625,319.87,265.28,1.9,57.17,0.76,OPEN,285.6000061035156,0.52,,,,2026-09-10T02:12:21.093211,,
2026-09-08,US,CDNS,Cadence Design Systems,rsi_oversold,RSI 과매도,284.1099853515625,319.87,265.28,1.9,58.47,0.89,OPEN,285.6000061035156,0.52,,,,2026-09-10T02:12:21.144407,,
2026-09-08,US,COR,Cencora,rising_bearish,상승음봉,324.69000244140625,347.29,313.39,2.0,54.96,0.1,OPEN,325.67498779296875,0.3,,,,2026-09-10T02:12:21.767812,,
2026-09-08,US,STZ,Constellation Brands,bb_lower,볼린저밴드 하단터치,120.9800033569336,132.32,115.7,2.15,57.17,0.76,OPEN,121.68499755859376,0.58,,,,2026-09-10T02:12:22.562289,,
2026-09-08,US,STZ,Constellation Brands,rsi_oversold,RSI 과매도,120.9800033569336,132.32,115.7,2.15,58.47,0.89,OPEN,121.68499755859376,0.58,,,,2026-09-10T02:12:22.609254,,
2026-09-08,US,DXCM,Dexcom,bb_lower,볼린저밴드 하단터치,84.52999877929688,89.73,80.67,1.35,57.17,0.76,OPEN,84.62999725341797,0.12,,,,2026-09-10T02:12:23.196386,,
2026-09-08,US,ECHO,EchoStar,golden_cross,골든크로스,93.41999816894533,103.06,88.6,2.0,55.58,0.09,OPEN,90.59500122070312,-3.02,,,,2026-09-10T02:12:23.883860,,
2026-09-08,US,ECHO,EchoStar,rising_bearish,상승음봉,93.41999816894533,103.06,88.6,2.0,54.96,0.1,OPEN,90.59500122070312,-3.02,,,,2026-09-10T02:12:23.927198,,
2026-09-08,US,EXPE,Expedia Group,bb_lower,볼린저밴드 하단터치,274.54998779296875,319.18,255.0,2.28,57.17,0.76,OPEN,273.3099975585937,-0.45,,,,2026-09-10T02:12:24.480244,,
2026-09-08,US,FICO,Fair Isaac,bb_lower,볼린저밴드 하단터치,933.2999877929688,1099.41,843.84,1.86,57.17,0.76,OPEN,949.239990234375,1.71,,,,2026-09-10T02:12:24.525361,,
2026-09-08,US,HWM,Howmet Aerospace,bb_lower,볼린저밴드 하단터치,231.52999877929688,268.94,215.82,2.38,57.17,0.76,OPEN,231.4250030517578,-0.05,,,,2026-09-10T02:12:25.210599,,
2026-09-08,US,HWM,Howmet Aerospace,rsi_oversold,RSI 과매도,231.52999877929688,268.94,215.82,2.38,58.47,0.89,OPEN,231.4250030517578,-0.05,,,,2026-09-10T02:12:25.256572,,
2026-09-08,US,LEN,Lennar,bb_lower,볼린저밴드 하단터치,80.37000274658203,85.58,76.69,1.41,57.17,0.76,OPEN,79.99500274658203,-0.47,,,,2026-09-10T02:12:26.039781,,
2026-09-08,US,LULU,Lululemon Athletica,bb_lower,볼린저밴드 하단터치,103.19000244140624,117.69,94.6,1.69,57.17,0.76,OPEN,99.43000030517578,-3.64,,,,2026-09-10T02:12:26.566591,,
2026-09-08,US,TAP,Molson Coors Beverage Company,bb_lower,볼린저밴드 하단터치,38.84000015258789,41.43,37.0,1.4,57.17,0.76,OPEN,38.91999816894531,0.21,,,,2026-09-10T02:12:27.217541,,
2026-09-08,US,OMC,Omnicom Group,bb_lower,볼린저밴드 하단터치,81.12999725341797,86.31,77.33,1.36,57.17,0.76,STOP_HIT,77.2249984741211,-4.81,2026-09-09,77.25,-4.78,2026-09-10T00:31:42.827770,,
2026-09-08,US,ORCL,Oracle Corporation,new_high_20,20일 신고가 돌파,162.52000427246094,183.94,151.81,2.0,50.61,0.02,OPEN,162.2198944091797,-0.18,,,,2026-09-10T02:12:27.885297,,
2026-09-08,US,ORCL,Oracle Corporation,rising_bearish,상승음봉,162.52000427246094,183.94,151.81,2.0,54.96,0.1,OPEN,162.2198944091797,-0.18,,,,2026-09-10T02:12:27.932016,,
2026-09-08,US,PTC,PTC Inc.,bb_lower,볼린저밴드 하단터치,133.2550048828125,150.52,124.95,2.08,57.17,0.76,OPEN,130.55999755859375,-2.02,,,,2026-09-10T02:12:28.445639,,
2026-09-08,US,QCOM,Qualcomm,new_high_20,20일 신고가 돌파,174.08999633789062,193.98,164.15,2.0,50.61,0.02,OPEN,175.58990478515625,0.86,,,,2026-09-10T02:12:29.063389,,
2026-09-08,US,QCOM,Qualcomm,rising_bearish,상승음봉,174.08999633789062,193.98,164.15,2.0,54.96,0.1,OPEN,175.58990478515625,0.86,,,,2026-09-10T02:12:29.109857,,
2026-09-08,US,RCL,Royal Caribbean Group,rsi_oversold,RSI 과매도,264.5,287.34,252.38,1.88,58.47,0.89,OPEN,259.6600036621094,-1.83,,,,2026-09-10T02:12:29.827967,,
2026-09-08,US,SYK,Stryker Corporation,bb_lower,볼린저밴드 하단터치,276.42999267578125,325.88,259.7,2.96,57.17,0.76,OPEN,273.8099975585937,-0.95,,,,2026-09-10T02:12:30.502308,,
2026-09-08,US,SYK,Stryker Corporation,rsi_oversold,RSI 과매도,276.42999267578125,325.88,259.7,2.96,58.47,0.89,OPEN,273.8099975585937,-0.95,,,,2026-09-10T02:12:30.548972,,
2026-09-08,US,VST,Vistra Corp.,new_high_20,20일 신고가 돌파,151.72000122070312,168.09,143.54,2.0,50.61,0.02,OPEN,149.9250030517578,-1.18,,,,2026-09-10T02:12:31.211628,,
2026-09-09,KR,000500,가온전선,new_high_20,20일 신고가 돌파,267000.0,329195.0,235902.5,2.0,46.65,0.17,OPEN,267000.0,0.0,,,,2026-09-09T10:29:16.050104,,
2026-09-08,KR,034020,두산에너빌리티,new_high_20,20일 신고가 돌파,89500.0,105043.46,81728.27,2.0,46.65,0.17,OPEN,91700.0,2.46,,,,2026-09-10T02:12:33.994814,,
2026-09-08,KR,034020,두산에너빌리티,rising_bearish,상승음봉,89500.0,105043.46,81728.27,2.0,51.82,0.25,OPEN,91700.0,2.46,,,,2026-09-10T02:12:34.045112,,
2026-09-08,KR,180640,한진칼,rising_bearish,상승음봉,148400.0,173562.08,135818.96,2.0,51.82,0.25,OPEN,143500.0,-3.3,,,,2026-09-10T02:12:35.483605,,
2026-09-09,KR,001440,대한전선,golden_cross,골든크로스,31200.0,36676.07,28461.97,2.0,52.86,0.14,OPEN,31200.0,0.0,,,,2026-09-09T13:54:58.615610,,
2026-09-09,KR,047040,대우건설,golden_cross,골든크로스,19660.0,24588.01,17196.0,2.0,52.86,0.14,OPEN,19660.0,0.0,,,,2026-09-09T14:12:04.542163,,
2026-09-09,KR,047040,대우건설,rising_bearish,상승음봉,19660.0,24588.01,17196.0,2.0,51.82,0.25,OPEN,19660.0,0.0,,,,2026-09-09T14:12:04.542267,,
2026-09-09,KR,096770,SK이노베이션,new_high_20,20일 신고가 돌파,153800.0,180852.55,140273.72,2.0,46.65,0.17,OPEN,153800.0,0.0,,,,2026-09-09T14:56:46.173761,,
2026-09-09,KR,001440,대한전선,golden_cross,골든크로스,31200.0,36676.07,28461.97,2.0,52.86,0.14,OPEN,31200.0,0.0,,,,2026-09-09T14:01:52,,
2026-09-08,US,CEG,Constellation Energy,rising_bearish,상승음봉,299.04998779296875,329.28,283.94,2.0,53.32,0.62,OPEN,294.875,-1.4,,,,2026-09-10T02:12:39.959310,"Vistra has spent nine months drifting lower while Wall Street piled up bullish price targets, and at least one major bank now sees a setup that looks nothing like the slow bleed playing out on the chart.",https://247wallst.com/investing/2026/09/09/vistra-has-edged-lower-throughout-2026-one-bank-says-its-on-the-verge-of-doubling/
2026-09-08,US,LYV,Live Nation Entertainment,bb_lower,볼린저밴드 하단터치,170.4499969482422,181.5,163.98,1.71,54.34,0.65,OPEN,170.05999755859375,-0.23,,,,2026-09-10T02:12:40.486970,"Capo's $534,000 liquidity event reduces his direct stake by 25%, leaving him with $1.6 million in remaining holdings as the stock maintains momentum.",https://www.fool.com/coverage/filings/2026/09/04/executive-liquidates-2-900-shares-of-entertainment-stock-valued-at-more-than-usd525-000/
2026-09-08,US,UNH,UnitedHealth Group,golden_cross,골든크로스,400.8399963378906,427.82,387.35,2.0,51.06,0.41,STOP_HIT,379.6824951171875,-5.28,2026-09-09,386.96,-3.46,2026-09-09T22:55:15.976487,UnitedHealth Group Inc.는 지난해 수익 붕괴에서 회복하기 위해 노력하고 있는 플로리다의 Optum Health 사업 일부에 대한 지분을 사모펀드 회사인 TPG Inc.에 매각했습니다.,https://finance.yahoo.com/healthcare/articles/unitedhealth-sells-interest-florida-wellmed-005524593.html
2026-09-09,US,CASY,Casey's,bb_lower,볼린저밴드 하단터치,598.0750122070312,794.42,546.36,3.8,54.34,0.65,OPEN,598.0750122070312,0.0,,,,2026-09-09T22:58:13.390964,2026년 9월 9일 오늘의 뉴스,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-on-wednesday-september-9-2026-12112266
2026-09-09,US,CASY,Casey's,rsi_oversold,RSI 과매도,598.0750122070312,794.42,546.36,3.8,55.72,0.74,OPEN,598.0750122070312,0.0,,,,2026-09-09T22:58:13.391041,2026년 9월 9일 오늘의 뉴스,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-on-wednesday-september-9-2026-12112266
